X,Y
-50,1007.677744
-49.60263135,988.7627663
-49.11766885,972.701579
-49.07826245,954.9840696
-48.19025054,939.6535842
-48.00045456,924.0157073
-47.45007445,912.5466719
-45.94038495,900.4607048
-45.60540019,885.9249261
-43.77666124,873.0695652
-42.54596028,860.7418709
-42.38323293,851.2581839
-42.33661833,840.843579
-41.98567228,828.8367748
-41.39637968,817.44832
-40.09049351,805.3194833
-39.57882314,796.1302929
-39.54764648,789.364459
-39.52901507,784.97839
-37.46568002,779.3999897
-37.42609849,773.7194466
-35.09018864,768.0798572
-32.96899303,764.225663
-32.86475762,758.97606
-32.59176955,756.972013
-32.14360251,752.7253833
-31.58893183,752.7838748
-31.49054168,749.1524893
-30.63473223,746.0798886
-29.91264745,746.1294694
-28.28161209,749.0914541
-27.90807018,756.866088
-27.02054847,765.2717792
-26.3866758,774.1048134
-24.25549125,783.0674005
-20.73167097,796.262425
-20.65804213,811.2086995
-18.13820056,825.847872
-17.732217,838.6376015
-11.6245215,852.7028722
-10.84849741,867.0295018
-10.34586887,881.3717736
-8.806481068,894.9934706
-7.687347341,910.4320987
-7.286558243,925.0267042
-6.442444022,941.2915672
-5.348855596,956.1526616
-4.792411017,972.9101285
-4.763819946,988.8748529
-4.333419336,1005.346104
-4.067692599,1005.346104
-2.661422871,990.8647519
1.287443129,975.5101765
6.450224729,961.9361331
8.249737057,950.2642068
9.091622852,937.2698353
10.14176497,923.5382136
10.19660551,909.456266
10.29405611,898.366684
10.6183032,889.0186659
10.96315417,877.4625835
11.22805086,868.1810298
11.24315784,859.3286696
11.52528734,852.1096957
12.02173134,844.1128356
12.10864033,834.2262677
14.21285241,825.2173401
15.27210743,815.8615638
16.24755461,808.4894682
17.57197867,801.9404988
17.69196269,793.4612533
18.42282627,787.6388065
20.31682116,783.0053197
20.61345825,781.6671093
21.05931152,779.8272289
21.27011544,779.5389501
22.21664453,775.6573093
22.432944,772.1718776
24.58959628,767.7967288
26.14591016,766.9405895
32.38657892,763.9679046
33.93813529,763.0253416
34.06386449,763.8178294
35.58768872,768.0830449
39.61173453,767.9767784
41.24446757,771.4293076
42.6003209,778.1609035
43.58553959,787.2939246
43.64846404,798.273186
43.92864691,809.2410272
44.27855574,818.4907788
44.88715889,834.3610563
45.0665072,847.0914297
45.14198227,864.3538291
47.05069129,880.6631249
48.59694151,898.3618316
48.68035202,913.8282034
49.43755411,928.7577225
49.60447965,948.2994101
50,964.2385648
